id,zh,ro,cat,old_ipa,new_ipa,old_hint,new_hint
1209,羞辱,umilință,情感,,umilInță,,名词 · 复数: umilințe
1210,叔叔,unchi,人际,,Unchi,,名词 · 复数待核对: unchii
1211,制服,uniformă,购物,,unifOrmă,,名词 · 复数: uniforme
1212,紧急情况,urgență,健康,,urgEnță,,名词 · 复数: urgențe
1213,大蒜,usturoi,饮食,,ustUroi,,名词 · 复数待核对: usturoii
1214,实用性,utilitate,日常,,utilitAte,,名词 · 复数: utilități
1215,车厢,vagon,交通,,vAgon,,名词 · 复数待核对: vagone
1216,行李箱,valiză,旅行,,valIză,,名词 · 复数: valize
1217,轮船,vapor,交通,,vapOr,,名词 · 复数待核对: vapore
1218,卷心菜,varză,饮食,,vArză,,名词 · 复数: varze
1219,年龄,vârstă,人际,,vÂrstă,,名词 · 复数: vârste
1220,风,vânt,天气,,vÂnt,,名词 · 复数待核对: vânte
1221,判决,verdict,社会,,vErdict,,名词 · 复数待核对: verdicte
1222,背心,vestă,购物,,vEstă,,名词 · 复数: veste
1223,永恒,veșnicie,情感,,veșnIcie,,名词 · 复数待核对: veșnicii
1224,受害者,victimă,社会,,victImă,,名词 · 复数: victime
1225,视频短片,videoclip,科技,,vidEOclip,,名词 · 复数待核对: videoclipe
1226,警觉的,vigilent,形容词,,vigilEnt,,形容词 · f: vigilentă · pl: vigilenți/ente
1227,未来,viitor,时间,,vIItor,,副词 · 不变
1228,暴力,violență,社会,,violEnță,,名词 · 复数: violențe
1229,小提琴,vioară,艺术,,vIOAră,,名词 · 复数: vioare
1230,能见度,vizibilitate,天气,,vizibilitAte,,名词 · 复数: vizibilități
1231,词汇,vocabular,学习,,vocabulAr,,名词 · 复数待核对: vocabulare
1232,意志,voință,情感,,vOInță,,名词 · 复数: voințe
1233,方向盘,volan,交通,,vOlan,,名词 · 复数待核对: volane
1234,音量,volum,科技,,vOlum,,名词 · 复数待核对: volume
1235,天气,vreme,天气,,vrEme,,名词 · 复数待核对: vremi
1236,骰子,zar,游戏,,zAr,,名词 · 复数待核对: zare
1237,航班,zbor,交通,,zbOr,,名词 · 复数待核对: zbore
1238,嫁妆,zestre,文化,,zEstre,,名词 · 复数待核对: zestri
1239,报纸,ziar,文化,,zIAr,,名词 · 复数待核对: ziare
1240,墙,zid,城市,,zId,,名词 · 复数待核对: zide
1241,覆盆子,zmeură,饮食,,zmEUră,,名词 · 复数: zmeure
1242,绝对的,absolut,形容词,,absOlut,,形容词 · f: absolută · pl: absoluți/ute
1243,绝对的（阴性）,absolută,形容词,,absolUtă,,形容词 · m/f 待核对 · pl: absolute
1244,可接近的,accesibil,形容词,,accesIbil,,形容词 · 形式待核对
1245,活跃的,activ,形容词,,actIv,,形容词 · f: activă · pl: activi/ive
1246,活跃的（阴性）,activă,形容词,,actIvă,,形容词 · m/f 待核对 · pl: active
1247,激进的,agresiv,形容词,,agresIv,,形容词 · f: agresivă · pl: agresivi/ive
1248,激进的（阴性）,agresivă,形容词,,agresIvă,,形容词 · m/f 待核对 · pl: agresive
1249,苦的,amar,形容词,,amAr,,形容词 · 形式待核对
1250,苦的（阴性）,amară,形容词,,amAră,,形容词 · m/f 待核对 · pl: amare
1251,亲切的,amabil,形容词,,amAbil,,形容词 · 形式待核对
1252,宽广的,amplu,形容词,,Amplu,,形容词 · 形式待核对
1253,近的,apropiat,形容词,,aprOpiat,,形容词 · f: apropiată · pl: apropiați/ate
1254,近的（阴性）,apropiată,形容词,,apropIAtă,,形容词 · m/f 待核对 · pl: apropiate
1255,锋利的,ascuțit,形容词,,ascUțit,,形容词 · f: ascuțită · pl: ascuțiți/ite
1256,锋利的（阴性）,ascuțită,形容词,,ascuțItă,,形容词 · m/f 待核对 · pl: ascuțite
1257,细心的,atent,形容词,,atEnt,,形容词 · f: atentă · pl: atenți/ente
1258,有吸引力的,atractiv,形容词,,atractIv,,形容词 · f: atractivă · pl: atractivi/ive
1259,有吸引力的（阴性）,atractivă,形容词,,atractIvă,,形容词 · m/f 待核对 · pl: atractive
1260,富有的,bogat,形容词,,bOgat,,形容词 · f: bogată · pl: bogați/ate
1261,富有的（阴性）,bogată,形容词,,bogAtă,,形容词 · m/f 待核对 · pl: bogate
1262,热的,cald,形容词,,cAld,,形容词 · 形式待核对
1263,中央的,central,形容词,,centrAl,,形容词 · 形式待核对
1264,中央的（阴性）,centrală,形容词,,centrAlă,,形容词 · m/f 待核对 · pl: centrale
1265,清楚的,clar,形容词,,clAr,,形容词 · 形式待核对
1266,清楚的（阴性）,clară,形容词,,clAră,,形容词 · m/f 待核对 · pl: clare
1267,方便的,comod,形容词,,cOmod,,形容词 · 形式待核对
1268,完整的,complet,形容词,,cOmplet,,形容词 · 形式待核对
1269,共同的,comun,形容词,,cOmun,,形容词 · 形式待核对
1270,具体的,concret,形容词,,cOncret,,形容词 · 形式待核对
1271,干净的,curat,形容词,,cUrat,,形容词 · f: curată · pl: curați/ate
1272,干净的（阴性）,curată,形容词,,curAtă,,形容词 · m/f 待核对 · pl: curate
1273,好奇的,curios,形容词,,curIOs,,形容词 · f: curioasă · pl: curioși/oase
1274,好奇的（阴性）,curioasă,形容词,,curIOAsă,,形容词 · m/f 待核对 · pl: curioase
1275,美味的,delicios,形容词,,delicIOs,,形容词 · f: delicioasă · pl: delicioși/oase
1276,美味的（阴性）,delicioasă,形容词,,delicIOAsă,,形容词 · m/f 待核对 · pl: delicioase
1277,开放的,deschis,形容词,,dEschis,,形容词 · 形式待核对
1278,困难的,dificil,形容词,,difIcil,,形容词 · 形式待核对
1279,直接的,direct,形容词,,dIrect,,形容词 · 形式待核对
1280,可用的,disponibil,形容词,,disponIbil,,形容词 · 形式待核对
1281,高效的,eficient,形容词,,eficIEnt,,形容词 · f: eficientă · pl: eficienți/ente
1282,平等的,egal,形容词,,egAl,,形容词 · 形式待核对
1283,平等的（阴性）,egală,形容词,,egAlă,,形容词 · m/f 待核对 · pl: egale
1284,优雅的,elegant,形容词,,elegAnt,,形容词 · 形式待核对
1285,巨大的,enorm,形容词,,Enorm,,形容词 · 形式待核对
1286,准确的,exact,形容词,,Exact,,形容词 · 形式待核对
1287,优秀的,excelent,形容词,,excelEnt,,形容词 · f: excelentă · pl: excelenți/ente
1288,假的,fals,形容词,,fAls,,形容词 · 形式待核对
1289,熟悉的,familiar,形容词,,familIAr,,形容词 · 形式待核对
1290,熟悉的（阴性）,familiară,形容词,,familIAră,,形容词 · m/f 待核对 · pl: familiare
1291,幸福的,fericit,形容词,,ferIcit,,形容词 · f: fericită · pl: fericiți/ite
1292,幸福的（阴性）,fericită,形容词,,fericItă,,形容词 · m/f 待核对 · pl: fericite
1293,灵活的,flexibil,形容词,,flexIbil,,形容词 · 形式待核对
1294,嫩的,fraged,形容词,,frAged,,形容词 · 形式待核对
1295,美丽的,frumos,形容词,,frumOs,,形容词 · f: frumoasă · pl: frumoși/oase
1296,美丽的（阴性）,frumoasă,形容词,,frumOAsă,,形容词 · m/f 待核对 · pl: frumoase
1297,慷慨的,generos,形容词,,generOs,,形容词 · f: generoasă · pl: generoși/oase
1298,慷慨的（阴性）,generoasă,形容词,,generOAsă,,形容词 · m/f 待核对 · pl: generoase
1299,重的,greu,形容词,,grEU,,形容词 · 形式待核对
1300,便宜的,ieftin,形容词,,IEftin,,形容词 · 形式待核对
1301,立即的,imediat,形容词,,imEdiat,,形容词 · f: imediată · pl: imediați/ate
1302,立即的（阴性）,imediată,形容词,,imedIAtă,,形容词 · m/f 待核对 · pl: imediate
1303,独立的,independent,形容词,,independEnt,,形容词 · f: independentă · pl: independenți/ente
1304,强烈的,intens,形容词,,Intens,,形容词 · 形式待核对
1305,安静的,liniștit,形容词,,linIștit,,形容词 · f: liniștită · pl: liniștiți/ite
1306,安静的（阴性）,liniștită,形容词,,liniștItă,,形容词 · m/f 待核对 · pl: liniștite
1307,本地的,local,形容词,,locAl,,形容词 · 形式待核对
1308,本地的（阴性）,locală,形容词,,locAlă,,形容词 · m/f 待核对 · pl: locale
1309,长的,lung,形容词,,lUng,,形容词 · 形式待核对
1310,成熟的,matur,形容词,,mAtur,,形容词 · 形式待核对
1311,柔软的,moale,形容词,,mOAle,,形容词 · 形式待核对
1312,自然的,natural,形容词,,naturAl,,形容词 · 形式待核对
1313,自然的（阴性）,naturală,形容词,,naturAlă,,形容词 · m/f 待核对 · pl: naturale
1314,必要的,necesar,形容词,,necesAr,,形容词 · 形式待核对
1315,必要的（阴性）,necesară,形容词,,necesAră,,形容词 · m/f 待核对 · pl: necesare
1316,正常的,normal,形容词,,normAl,,形容词 · 形式待核对
1317,正常的（阴性）,normală,形容词,,normAlă,,形容词 · m/f 待核对 · pl: normale
1318,新的,nou,形容词,,nOU,,形容词 · 形式待核对
1319,官方的（阴性）,oficială,形容词,,oficIAlă,,形容词 · m/f 待核对 · pl: oficiale
1320,乐观的,optimist,形容词,,optImist,,形容词 · 形式待核对
1321,整齐的,ordonat,形容词,,ordOnat,,形容词 · f: ordonată · pl: ordonați/ate
1322,整齐的（阴性）,ordonată,形容词,,ordonAtă,,形容词 · m/f 待核对 · pl: ordonate
1323,原创的,original,形容词,,originAl,,形容词 · 形式待核对
1324,原创的（阴性）,originală,形容词,,originAlă,,形容词 · m/f 待核对 · pl: originale
1325,永久的,permanent,形容词,,permanEnt,,形容词 · f: permanentă · pl: permanenți/ente
1326,个人的,personal,形容词,,personAl,,形容词 · 形式待核对
1327,个人的（阴性）,personală,形容词,,personAlă,,形容词 · m/f 待核对 · pl: personale
1328,愉快的,plăcut,形容词,,plĂcut,,形容词 · f: plăcută · pl: plăcuți/ute
1329,愉快的（阴性）,plăcută,形容词,,plăcUtă,,形容词 · m/f 待核对 · pl: plăcute
1330,受欢迎的,popular,形容词,,populAr,,形容词 · 形式待核对
1331,受欢迎的（阴性）,populară,形容词,,populAră,,形容词 · m/f 待核对 · pl: populare
1332,积极的,pozitiv,形容词,,pozitIv,,形容词 · f: pozitivă · pl: pozitivi/ive
1333,积极的（阴性）,pozitivă,形容词,,pozitIvă,,形容词 · m/f 待核对 · pl: pozitive
1334,实用的,practic,形容词,,practIc,,形容词 · f: practică · pl: practici/ice
1335,实用的（阴性）,practică,形容词,,practIcă,,形容词 · m/f 待核对 · pl: practice
1336,精确的,precis,形容词,,prEcis,,形容词 · 形式待核对
1337,深刻的,profund,形容词,,prOfund,,形容词 · 形式待核对
1338,快速的,rapid,形容词,,rApid,,形容词 · 形式待核对
1339,稀少的,rar,形容词,,rAr,,形容词 · 形式待核对
1340,稀少的（阴性）,rară,形容词,,rAră,,形容词 · m/f 待核对 · pl: rare
1341,最近的,recent,形容词,,recEnt,,形容词 · f: recentă · pl: recenți/ente
1342,耐用的,rezistent,形容词,,rezistEnt,,形容词 · f: rezistentă · pl: rezistenți/ente
1343,圆的,rotund,形容词,,rOtund,,形容词 · 形式待核对
1344,健康的,sănătos,形容词,,sănătOs,,形容词 · f: sănătoasă · pl: sănătoși/oase
1345,健康的（阴性）,sănătoasă,形容词,,sănătOAsă,,形容词 · m/f 待核对 · pl: sănătoase
1346,短的,scurt,形容词,,scUrt,,形容词 · 形式待核对
1347,敏感的,sensibil,形容词,,sensIbil,,形容词 · 形式待核对
1348,严肃的,serios,形容词,,serIOs,,形容词 · f: serioasă · pl: serioși/oase
1349,严肃的（阴性）,serioasă,形容词,,serIOAsă,,形容词 · m/f 待核对 · pl: serioase
1350,真诚的,sincer,形容词,,sIncer,,形容词 · 形式待核对
1351,独自的,singur,形容词,,sIngur,,形容词 · 形式待核对
1352,特别的,special,形容词,,specIAl,,形容词 · 形式待核对
1353,特别的（阴性）,specială,形容词,,specIAlă,,形容词 · m/f 待核对 · pl: speciale
1354,稳定的,stabil,形容词,,stAbil,,形容词 · 形式待核对
1355,薄的,subțire,形容词,,subțIre,,形容词 · 形式待核对
1356,足够的,suficient,形容词,,suficIEnt,,形容词 · f: suficientă · pl: suficienți/ente
1357,惊讶的,surprins,形容词,,sUrprins,,形容词 · 形式待核对
1358,技术的,tehnic,形容词,,tehnIc,,形容词 · f: tehnică · pl: tehnici/ice
1359,技术的（阴性）,tehnică,形容词,,tehnIcă,,形容词 · m/f 待核对 · pl: tehnice
1360,悲伤的,trist,形容词,,trIst,,形容词 · 形式待核对
1361,轻的,ușor,形容词,,ușOr,,形容词 · 形式待核对
1362,有用的,util,形容词,,Util,,形容词 · 形式待核对
1363,开心的,vesel,形容词,,vEsel,,形容词 · 形式待核对
1364,可见的,vizibil,形容词,,vizIbil,,形容词 · 形式待核对
1365,接受,accepta,动词,,accEpta,,动词 · 零变位
1366,接受过,acceptat,动词,,accEptat,,动词 · 变位待核对
1367,欣赏,admira,动词,,admIra,,动词 · 零变位
1368,欣赏过,admirat,动词,,admIrat,,动词 · 变位待核对
1369,带来,aduce,动词,,adUce,,动词 · -e 类
1370,得知,afla,动词,,Afla,,动词 · 零变位
1371,得知过,aflat,动词,,Aflat,,动词 · 变位待核对
1372,到达,ajunge,动词,,ajUnge,,动词 · -e 类
1373,选择,alege,动词,,alEge,,动词 · -e 类
1374,出现,apărea,动词,,apĂrea,,动词 · -ea 类
1375,点燃,aprinde,动词,,aprInde,,动词 · -e 类
1376,展示,arăta,动词,,arĂta,,动词 · 零变位
1377,展示过,arătat,动词,,arĂtat,,动词 · 变位待核对
1378,扔,arunca,动词,,arUnca,,动词 · 零变位
1379,扔过,aruncat,动词,,arUncat,,动词 · 变位待核对
1380,听,asculta,动词,,ascUlta,,动词 · 零变位
1381,听过,ascultat,动词,,ascUltat,,动词 · 变位待核对
1382,等待,aștepta,动词,,aștEpta,,动词 · 零变位
1383,等待过,așteptat,动词,,aștEptat,,动词 · 变位待核对
1384,触摸,atinge,动词,,atInge,,动词 · -e 类
1385,听见,auzi,动词,,AUzi,,动词 · -esc 变位
1386,听见过,auzit,动词,,AUzit,,动词 · 变位待核对
1387,喝,bea,动词,,bEA,,动词 · -ea 类
1388,赢得,câștiga,动词,,câștIga,,动词 · 零变位
1389,赢得过,câștigat,动词,,câștIgat,,动词 · 变位待核对
1390,请求,cere,动词,,cEre,,动词 · -e 类
1391,叫,chema,动词,,chEma,,动词 · 零变位
1392,叫过,chemat,动词,,chEmat,,动词 · 变位待核对
1393,花费,cheltui,动词,,chEltui,,动词 · -esc 变位
1394,花费过,cheltuit,动词,,chEltuit,,动词 · 变位待核对
1395,通行,circula,动词,,circUla,,动词 · 零变位
1396,通行过,circulat,动词,,circUlat,,动词 · 变位待核对
1397,阅读,citi,动词,,cIti,,动词 · -esc 变位
1398,阅读过,citit,动词,,cItit,,动词 · 变位待核对
1399,下去,coborî,动词,,cobOrî,,动词 · -ăsc 变位
1400,下去过,coborit,动词,,cobOrit,,动词 · 变位待核对
1401,订购,comanda,动词,,comAnda,,动词 · 零变位
1402,订购过,comandat,动词,,comAndat,,动词 · 变位待核对
1403,填写,completa,动词,,complEta,,动词 · 零变位
1404,填写过,completat,动词,,complEtat,,动词 · 变位待核对
1405,购买,cumpăra,动词,,cumpĂra,,动词 · 零变位
1406,购买过,cumpărat,动词,,cumpĂrat,,动词 · 变位待核对
1407,认识,cunoaște,动词,,cunOAște,,动词 · -e 类
1408,清洁,curăța,动词,,curĂța,,动词 · 零变位
1409,清洁过,curățat,动词,,curĂțat,,动词 · 变位待核对
1410,打开,deschide,动词,,deschIde,,动词 · -e 类
1411,画,desena,动词,,desEna,,动词 · 零变位
1412,画过,desenat,动词,,desEnat,,动词 · 变位待核对
1413,讨论,discuta,动词,,discUta,,动词 · 零变位
1414,讨论过,discutat,动词,,discUtat,,动词 · 变位待核对
1415,睡觉,dormi,动词,,dOrmi,,动词 · -esc 变位
1416,睡觉过,dormit,动词,,dOrmit,,动词 · 变位待核对
1417,寄送,expedia,动词,,expEdia,,动词 · 零变位
1418,寄送过,expediat,动词,,expEdiat,,动词 · 变位待核对
1419,解释,explica,动词,,explIca,,动词 · 零变位
1420,解释过,explicat,动词,,explIcat,,动词 · 变位待核对
1421,做,face,动词,,fAce,,动词 · -e 类
1422,拍照,fotografia,动词,,fotogrAfia,,动词 · 零变位
1423,拍照过,fotografiat,动词,,fotogrAfiat,,动词 · 变位待核对
1424,找到,găsi,动词,,gĂsi,,动词 · -esc 变位
1425,找到过,găsit,动词,,gĂsit,,动词 · 变位待核对
1426,做饭,găti,动词,,gĂti,,动词 · -esc 变位
1427,做饭过,gătit,动词,,gĂtit,,动词 · 变位待核对
1428,开玩笑,glumi,动词,,glUmi,,动词 · -esc 变位
1429,开玩笑过,glumit,动词,,glUmit,,动词 · 变位待核对
1430,犯错,greși,动词,,grEși,,动词 · -esc 变位
1431,犯错过,greșit,动词,,grEșit,,动词 · 变位待核对
1432,学习,învăța,动词,,învĂța,,动词 · 零变位
1433,学习过,învățat,动词,,învĂțat,,动词 · 变位待核对
1434,关闭,închide,动词,,închIde,,动词 · -e 类
1435,开始,începe,动词,,încEpe,,动词 · -e 类
1436,尝试,încerca,动词,,încErca,,动词 · 零变位
1437,尝试过,încercat,动词,,încErcat,,动词 · 变位待核对
1438,理解,înțelege,动词,,înțelEge,,动词 · -e 类
1439,询问,întreba,动词,,întrEba,,动词 · 零变位
1440,询问过,întrebat,动词,,întrEbat,,动词 · 变位待核对
1441,进入,intra,动词,,Intra,,动词 · 零变位
1442,进入过,intrat,动词,,Intrat,,动词 · 变位待核对
1443,出去,ieși,动词,,IEși,,动词 · -esc 变位
1444,出去过,ieșit,动词,,IEșit,,动词 · 变位待核对
1445,爱,iubi,动词,,IUbi,,动词 · -esc 变位
1446,爱过,iubit,动词,,IUbit,,动词 · 变位待核对
1447,玩,juca,动词,,jUca,,动词 · 零变位
1448,玩过,jucat,动词,,jUcat,,动词 · 变位待核对
1449,居住,locui,动词,,lOcui,,动词 · -esc 变位
1450,居住过,locuit,动词,,lOcuit,,动词 · 变位待核对
1451,工作,lucra,动词,,lUcra,,动词 · 零变位
1452,工作过,lucrat,动词,,lUcrat,,动词 · 变位待核对
1453,拿,lua,动词,,lUA,,动词 · 零变位
1454,拿过,luat,动词,,lUAt,,动词 · 变位待核对
1455,吃,mânca,动词,,mÂnca,,动词 · 零变位
1456,吃过,mâncat,动词,,mÂncat,,动词 · 变位待核对
1457,走,merge,动词,,mErge,,动词 · -e 类
1458,搬动,muta,动词,,mUta,,动词 · 零变位
1459,搬动过,mutat,动词,,mUtat,,动词 · 变位待核对
1460,记录,nota,动词,,nOta,,动词 · 零变位
1461,记录过,notat,动词,,nOtat,,动词 · 变位待核对
1462,观察,observa,动词,,obsErva,,动词 · 零变位
1463,观察过,observat,动词,,obsErvat,,动词 · 变位待核对
1464,组织,organiza,动词,,organIza,,动词 · -ez 变位
1465,组织过,organizat,动词,,organIzat,,动词 · 变位待核对
1466,停车,parca,动词,,pArca,,动词 · 零变位
1467,停车过,parcat,动词,,pArcat,,动词 · 变位待核对
1468,参加,participa,动词,,particIpa,,动词 · 零变位
1469,参加过,participat,动词,,particIpat,,动词 · 变位待核对
1470,付款,plăti,动词,,plĂti,,动词 · -esc 变位
1471,付款过,plătit,动词,,plĂtit,,动词 · 变位待核对
1472,离开,pleca,动词,,plEca,,动词 · 零变位
1473,离开过,plecat,动词,,plEcat,,动词 · 变位待核对
1474,收到,primi,动词,,prImi,,动词 · -esc 变位
1475,收到过,primit,动词,,prImit,,动词 · 变位待核对
1476,发音,pronunța,动词,,pronUnța,,动词 · 零变位
1477,发音过,pronunțat,动词,,pronUnțat,,动词 · 变位待核对
1478,保护,proteja,动词,,protEja,,动词 · 零变位
1479,保护过,protejat,动词,,protEjat,,动词 · 变位待核对
1480,发布,publica,动词,,publIca,,动词 · 零变位
1481,发布过,publicat,动词,,publIcat,,动词 · 变位待核对
1482,穿戴,purta,动词,,pUrta,,动词 · 零变位
1483,穿戴过,purtat,动词,,pUrtat,,动词 · 变位待核对
1484,修理,repara,动词,,repAra,,动词 · 零变位
1485,修理过,reparat,动词,,repArat,,动词 · 变位待核对
1486,重复,repeta,动词,,repEta,,动词 · 零变位
1487,重复过,repetat,动词,,repEtat,,动词 · 变位待核对
1488,解决,rezolva,动词,,rezOlva,,动词 · 零变位
1489,解决过,rezolvat,动词,,rezOlvat,,动词 · 变位待核对
1490,回答,răspunde,动词,,răspUnde,,动词 · -e 类
1491,留下,rămâne,动词,,rămÂne,,动词 · -e 类
1492,保存,salva,动词,,sAlva,,动词 · 零变位
1493,保存过,salvat,动词,,sAlvat,,动词 · 变位待核对
1494,改变,schimba,动词,,schImba,,动词 · 零变位
1495,改变过,schimbat,动词,,schImbat,,动词 · 变位待核对
1496,写,scrie,动词,,scrIE,,动词 · -e 类
1497,签名,semna,动词,,sEmna,,动词 · 零变位
1498,签名过,semnat,动词,,sEmnat,,动词 · 变位待核对
1499,感觉,simți,动词,,sImți,,动词 · -esc 变位
1500,感觉过,simțit,动词,,sImțit,,动词 · 变位待核对
1501,洗,spăla,动词,,spĂla,,动词 · 零变位
1502,洗过,spălat,动词,,spĂlat,,动词 · 变位待核对
1503,说,spune,动词,,spUne,,动词 · -e 类
1504,待着,sta,动词,,stA,,动词 · 零变位
1505,学习,studia,动词,,stUdia,,动词 · 零变位
1506,学习过,studiat,动词,,stUdiat,,动词 · 变位待核对
1507,发送,trimite,动词,,trimIte,,动词 · -e 类
1508,忘记,uita,动词,,UIta,,动词 · 零变位
1509,忘记过,uitat,动词,,UItat,,动词 · 变位待核对
1510,上去,urca,动词,,Urca,,动词 · 零变位
1511,上去过,urcat,动词,,Urcat,,动词 · 变位待核对
1512,跟随,urmări,动词,,urmĂri,,动词 · -esc 变位
1513,跟随过,urmărit,动词,,urmĂrit,,动词 · 变位待核对
1514,核对,verifica,动词,,verifIca,,动词 · -ez 变位
1515,核对过,verificat,动词,,verifIcat,,动词 · 变位待核对
1516,出售,vinde,动词,,vInde,,动词 · -e 类
1517,参观,vizita,动词,,vizIta,,动词 · 零变位
1518,参观过,vizitat,动词,,vizItat,,动词 · 变位待核对
1519,说话,vorbi,动词,,vOrbi,,动词 · -esc 变位
1520,说话过,vorbit,动词,,vOrbit,,动词 · 变位待核对
1521,微笑,zâmbi,动词,,zÂmbi,,动词 · -esc 变位
1522,微笑过,zâmbit,动词,,zÂmbit,,动词 · 变位待核对
1523,在家,acasă,副词,,acAsă,,副词 · 不变
1524,在外面,afară,副词,,afAră,,副词 · 不变
1525,几乎,aproape,副词,,aprOApe,,副词 · 不变
1526,今天,azi,副词,,Azi,,副词 · 不变
1527,好,bine,副词,,bIne,,副词 · 不变
1528,很快,curând,副词,,cUrând,,副词 · 不变
1529,远地,departe,副词,,depArte,,副词 · 不变
1530,经常,des,副词,,dEs,,副词 · 不变
1531,早,devreme,副词,,devrEme,,副词 · 不变
1532,昨天,ieri,副词,,IEri,,副词 · 不变
1533,一起,împreună,副词,,împrEUnă,,副词 · 不变
1534,向后,înapoi,副词,,înApoi,,副词 · 不变
1535,向前,înainte,副词,,înAInte,,副词 · 不变
1536,慢慢地,încet,副词,,Încet,,副词 · 不变
1537,总是,mereu,副词,,mEreu,,副词 · 不变
1538,明天,mâine,副词,,mÂIne,,副词 · 不变
1539,从不,niciodată,副词,,niciodAtă,,副词 · 不变
1540,快速地,repede,副词,,repEde,,副词 · 不变
1541,晚,târziu,副词,,tÂrziu,,副词 · 不变
1542,然而,totuși,副词,,totUși,,副词 · 不变
